Movie Title,Gross,Production Budget,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Walk To Remember,41281092,11800000,0.924118694915254,0.1408702,0.505074,2.641346,0.03400029,0.2672467,-0.1282589,-0.4466697,0.4069329,-0.906362,0.5348784,-1.605883,0.5953302,-0.3453931,0.1197786,-0.5936458,-0.233244,-0.4807732,-0.2945475,0.09751594,-0.469073,0.2235308,-0.6644945,-0.8083713,0.9145464,0.1020256,0.06483508,-0.4354659,0.2204165,-0.956758,0.1203407,-0.502991,-0.4536017,-0.5238853,-0.7612692,-0.09794013,0.1340931,-0.2250561,-0.2584523,-0.6768308,-0.1479179,-0.2062313,-0.7406516,-0.5764505,0.4409474
Bruce Almighty,242829261,81000000,0.648840661111111,0.04026319,0.1500207,-0.01460068,0.3566219,0.1601208,-0.7235398,0.2522242,-0.2077006,-0.2491206,-0.6906942,-0.4328849,0.0392833,0.3882121,-0.2824099,0.5083523,-0.1118765,-0.2782919,0.4025399,-0.09445869,0.5480168,-0.0635336,-0.05463272,0.5288304,-0.7093319,0.349007,0.7106793,-0.3033892,1.47562,-1.062769,1.63271,-2.092502,0.2277657,-0.490847,0.09746968,-0.6002124,1.434071,-3.326893,1.417556,-0.7721089,1.658832,-1.838726,0.6246828,-0.2081486,0.1955697
Collateral Damage,40077257,85000000,-0.740676572352941,0.1528283,-0.0126273,-0.8300994,0.05482697,-0.7750073,0.2254349,-0.3217699,-0.224624,-0.5186217,-0.1623461,0.1350763,-0.1490921,-0.0853988,-0.03148071,0.3848417,-0.2147976,0.2471363,-0.7435587,0.9414329,0.2252806,0.4804417,0.4899029,0.3511911,0.2127828,0.6888586,0.2620014,-0.2997456,-0.2010727,-0.254768,-0.03962721,0.2853784,-1.245776,0.4827712,-0.4959415,-0.6843358,-0.5604927,-1.287746,-0.1140278,-1.213252,-0.2540273,-1.356137,-0.3688124,-0.9690159,-0.04898493
Final Destination,46961214,26000000,-0.006589703846154,-0.2368021,-0.03957285,1.662806,0.4138666,0.04025051,0.5561182,-0.039038,0.06389623,0.008826717,0.5756972,0.4557693,-0.356607,0.3373855,0.3778743,0.3691272,0.334618,0.2782473,0.07667239,-0.3744419,0.6047335,0.01518205,-0.2887794,0.2061512,-0.504634,-0.1739282,0.03051925,0.4596126,0.2339743,0.8164109,-0.2020411,0.577387,-0.5448938,0.08487841,0.2869211,-0.2611942,0.965692,-0.8927723,0.6188699,-0.6971181,0.3524833,-0.6174625,0.7553749,-0.5596863,0.3425561
Gladiator,187705427,103000000,0.002310532524272,-0.005681761,0.8334819,-0.08653882,0.6696701,-1.140556,-1.783545,-0.7057975,0.3326191,-0.2308835,-0.06375597,0.03032326,0.03374174,0.09621073,0.3606186,-0.08112771,1.948133,1.059272,2.186911,-0.09528097,1.270579,1.566078,0.7165788,0.1833469,-0.54523,-0.007522977,-0.4169084,0.0255321,-0.49171,0.04742093,-0.4627169,0.3495761,-0.2941752,-0.2475799,-0.2300571,-0.1594235,-0.5036177,0.3563968,-0.3495897,0.3805161,-0.1250442,0.2577253,-0.6266203,0.5727114,-0.7025323
The Grudge,110359362,10000000,5.06976491,-0.201084,-0.0229927,-0.1399747,0.4027168,0.09266994,-0.09755382,0.2540339,0.07807624,-0.08795049,0.2725758,0.06463278,0.3691953,0.02680102,0.3128605,0.1582231,0.4176004,0.192086,0.9145341,0.125691,0.3034119,0.4543952,0.1558704,0.1849222,0.4300964,0.5506894,0.4476313,0.8576968,0.7163552,1.34994,0.08617959,0.3967519,0.3827436,0.1105429,1.406083,-1.126463,1.491057,-0.3125976,-0.4346838,0.2601046,0.1174082,0.488078,-0.5597993,0.2516013,-0.05625672
Harold and Kumar Go To Whitecastle,18250550,9000000,0.115311388888889,0.08617275,0.08061934,-0.02861336,0.002629219,0.04226769,-0.3071028,0.1612186,-0.2314536,0.4416499,-0.8599387,1.489111,0.2313197,-3.279613,1.879327,-0.6744132,0.2152034,-0.7409794,0.1331112,-0.1704307,0.1246945,-0.3420668,0.5001268,-0.6607052,0.3701333,0.3318599,-0.2160341,0.06665642,0.4225403,0.6355895,0.4341134,-1.24258,3.524395,-2.134959,0.6407304,-0.7343659,0.1999794,0.1967289,0.335991,-0.1972798,-0.2238991,0.2408062,-0.1207541,0.04021396,0.3977625
Hotel Rwanda,23530892,17500000,-0.26045768,0.330528,-0.547019,-0.9389519,-0.8742253,-0.6718506,0.02446058,-0.3727025,-0.553363,0.3151374,-0.3733112,-0.2849254,-0.4498201,-0.178222,-0.6417824,0.5457896,-0.6424607,-0.4398587,-0.6726389,-0.6628442,-0.3678445,0.1314535,-0.7298167,0.2235048,-0.3072868,0.3612009,0.1552356,-0.5924596,-0.288871,-0.5393875,-0.2273898,-0.874835,-0.3793825,-1.730577,0.2503332,-0.2875591,0.1472194,-0.7652556,-0.5219201,-0.4978284,-0.3749697,-0.05361654,-1.076935,-0.9905373,0.04410986
Insomnia,67355513,46000000,-0.194662344565217,-0.1356643,0.3064079,0.4945902,1.566121,-0.4690606,0.9318765,-0.1394615,0.4300883,-0.5855519,-0.3510072,0.7008428,-1.20026,1.370709,-0.9068264,1.080725,0.4329356,0.5486998,0.2395053,0.4809672,0.7319046,-0.5697808,-0.4355674,0.8055163,-0.6305423,1.333148,-0.09402508,0.8135611,-0.1257012,-0.4337456,0.6668559,0.06530444,0.06858375,0.1735514,0.2689494,0.4177968,0.2462083,0.743046,0.4877837,1.046985,-1.003703,1.301225,-1.29532,0.8684545,-0.6481768
"I, Robot",144801023,120000000,-0.336328644583333,-0.04297929,-0.4296528,-0.1208101,0.154397,-0.5552479,-0.05335469,0.08857472,0.02315412,0.03388153,0.1545817,-0.5223952,0.8001901,-1.09316,0.1821562,-0.9806802,-0.2322772,0.2398198,-1.283504,0.5344949,-0.6960701,1.227244,-0.3713922,-0.1860024,-0.05432164,-0.9336189,0.7002544,-0.2732825,0.2288224,0.2401663,-0.222975,0.7390978,0.9933042,1.625778,0.623298,1.957071,-1.080956,-0.318386,0.1892273,-0.2791756,0.1526001,0.1066249,0.1870474,-0.6767491,1.66525
